vid_title,vid_id,category,duration,views,likes,url
Health Style - Office Workout,P8sOb4rcc-w,Workout,0.53,19071,2,https://www.youtube.com/watch?v=P8sOb4rcc-w
Office Based Workout | Nuffield Health,Lqw2u3vHHos,Workout,4.13,41720,180,https://www.youtube.com/watch?v=Lqw2u3vHHos
CHAIR EXERCISES - SEATED CHAIR WORKOUT - IDEAL  SEATED WORKOUT FOR WEIGHT LOSS by Lucy Wyndham-Read,9PpO-sh2HD4,Workout,12.67,115679,2891,https://www.youtube.com/watch?v=9PpO-sh2HD4
15-Minute Desk Workout,nKCPcRcJmqc,Workout,15.58,425507,814,https://www.youtube.com/watch?v=nKCPcRcJmqc
7 mins WORK BREAK workout at your desk (on your chair),yGeJ745bB_8,Workout,7.52,368,30,https://www.youtube.com/watch?v=yGeJ745bB_8
Desk Workout | Simple &amp; Effective,woqplFGJBC4,Workout,10.4,800,9,https://www.youtube.com/watch?v=woqplFGJBC4
Desk Workout - 5 Minute Office Fitness &amp; Computer Workout w/ Jake Mace!,puJjT3DsP88,Workout,5.53,7762,258,https://www.youtube.com/watch?v=puJjT3DsP88
Cubii Smart Under-Desk Elliptical Review - Ask Doctor Jo,V0ICZ7BzSUc,Workout,5.25,192481,1325,https://www.youtube.com/watch?v=V0ICZ7BzSUc
NO GYM FULL BODY WORKOUT (feat. 5 min Tabata) | 5분 전신 타바타 운동,Tz9d7By2ytQ,Workout,5.4,19469119,415275,https://www.youtube.com/watch?v=Tz9d7By2ytQ
5-Minute Standing Flat-Belly Workout | Class FitSugar,SRq7XtDW0wg,Workout,5.62,11343976,141614,https://www.youtube.com/watch?v=SRq7XtDW0wg
5-Minute Workout That Replaces High-Intensity Cardio,FXDWtYsu1dQ,Workout,11.05,35563972,521433,https://www.youtube.com/watch?v=FXDWtYsu1dQ
"LOSE FAT in 7 days (belly, waist &amp; abs) | 5 minute Home Workout",ohgLmY19jNg,Workout,5.88,9964908,407273,https://www.youtube.com/watch?v=ohgLmY19jNg
5 MINUTE MORNING WORKOUT (NO EQUIPMENT),ZtNAGrM1gMM,Workout,5.62,173921,4758,https://www.youtube.com/watch?v=ZtNAGrM1gMM
5 MINUTE FAT BURNER 💪💕 Ultimate No Equipment Cardio Workout,EDD4GxHVess,Workout,5.22,516349,10809,https://www.youtube.com/watch?v=EDD4GxHVess
Bowflex® Bodyweight Workout | Five-Minute Cardio Blast Workout,BR0jT6JxH-o,Workout,5.55,6041673,82309,https://www.youtube.com/watch?v=BR0jT6JxH-o
5 MIN HOME WORKOUT YOU CAN DO EVERY MORNING l 매일 아침 5분 전신 홈트레이닝,fLLScgWQcHc,Workout,5.45,1739502,42599,https://www.youtube.com/watch?v=fLLScgWQcHc
5 Minute LOWER ABS Workout 👙💕 LOSE LOWER BELLY FAT,Jnkz6q39Dlw,Workout,5.55,1442385,30797,https://www.youtube.com/watch?v=Jnkz6q39Dlw
5 MINUTE BEDTIME WORKOUT ROUTINE,5Q4ewnHMNW8,Workout,5.52,2364543,72014,https://www.youtube.com/watch?v=5Q4ewnHMNW8
5 Minute Move | Kids Workout 1 | The Body Coach TV,d3LPrhI0v-w,Workout,5.83,2761907,13554,https://www.youtube.com/watch?v=d3LPrhI0v-w
"5 min Cardio for Beginners - No Equipment Home Workout - 40 second, 20 second Intervals",q2NZyW5EP5A,Workout,5.33,348188,5287,https://www.youtube.com/watch?v=q2NZyW5EP5A
5 min Cardio HIIT Workout for Fat Loss - 40s/20s Intervals - Home Workouts,XGtjACeyHtc,Workout,5.33,2095433,33200,https://www.youtube.com/watch?v=XGtjACeyHtc
5 Minute Butt and Thigh Workout for a Bigger Butt - Exercises to Lift and Tone Your Butt and Thighs,afghBre8NlI,Workout,5.3,66795115,696597,https://www.youtube.com/watch?v=afghBre8NlI
Shaun T&#39;s 5-Minute Fat-Blasting Workout,-kQpTMkQo3Y,Workout,5.7,6057237,67128,https://www.youtube.com/watch?v=-kQpTMkQo3Y
5 MIN UPPER BODY WORKOUT (NO EQUIPMENT NEEDED)  |  5분 상체운동 루틴 (가슴 어깨 등),1fjeQKI-5wg,Workout,5.37,1738474,30126,https://www.youtube.com/watch?v=1fjeQKI-5wg
5 MINUTE HOME AB WORKOUT (6 PACK FOR BEGINNERS),6auB47_9Kq4,Workout,5.63,860415,17905,https://www.youtube.com/watch?v=6auB47_9Kq4
Upper Body Workout at Home - Quick Workout - 5 minute UB Blast Workout,x2Ct9HlDkEI,Workout,4.82,369327,3267,https://www.youtube.com/watch?v=x2Ct9HlDkEI
5 Minute Belly Blasting Walk!,ujGr3nrZfvQ,Workout,5.2,10185113,74483,https://www.youtube.com/watch?v=ujGr3nrZfvQ
5-Minute Warm Up for At-Home Workouts,Ks-lKvKQ8f4,Workout,5.92,5731336,60167,https://www.youtube.com/watch?v=Ks-lKvKQ8f4
Shaun T&#39;s 5-Minute Fat-Blasting Workout - Best of Oz Collection,t1rhghuWIg4,Workout,5.83,17485,374,https://www.youtube.com/watch?v=t1rhghuWIg4
[Level 3] 5 minute Abs &amp; Core workout,c6DorYn0uGQ,Workout,5.35,9901208,115260,https://www.youtube.com/watch?v=c6DorYn0uGQ
6 PACK ABS WORKOUT (Lose Belly Fat)  |  5분 식스팩 복근 운동 (복부지방 태우기),tjZm34Kfpmg,Workout,5.4,3288974,52214,https://www.youtube.com/watch?v=tjZm34Kfpmg
5 MIN DAILY STRETCH - a super quick routine for every day / No Equipment I Pamela Reif,KPG1tJW8dwQ,Workout,6.23,1517515,31402,https://www.youtube.com/watch?v=KPG1tJW8dwQ
Bowflex® Bodyweight Workout | Five-Minute Holiday Season HIIT,AzxS7QJ5vjY,Workout,5.85,533101,5285,https://www.youtube.com/watch?v=AzxS7QJ5vjY
5-Minute Squat Workout for a Tight Booty,6XpGQ2EhfUQ,Workout,5.75,1330142,10818,https://www.youtube.com/watch?v=6XpGQ2EhfUQ
5-Minute Workout to Get a Flat Stomach In a Week,kXFSy-DZasQ,Workout,10.83,2827953,54585,https://www.youtube.com/watch?v=kXFSy-DZasQ
5 MIN BED TIME WORKOUT (NO EQUIPMENT BODYWEIGHT  WORKOUT!),A4Ki2SIX3b4,Workout,5.42,446975,12144,https://www.youtube.com/watch?v=A4Ki2SIX3b4
