vid_title,vid_id,category,views,duration,url
Cubii Smart Under-Desk Elliptical Review - Ask Doctor Jo,V0ICZ7BzSUc,Workout,192172,5.25,https://www.youtube.com/watch?v=V0ICZ7BzSUc
Desk Workout | Simple &amp; Effective,woqplFGJBC4,Workout,800,10.4,https://www.youtube.com/watch?v=woqplFGJBC4
CHAIR EXERCISES - SEATED CHAIR WORKOUT - IDEAL  SEATED WORKOUT FOR WEIGHT LOSS by Lucy Wyndham-Read,9PpO-sh2HD4,Workout,115359,12.67,https://www.youtube.com/watch?v=9PpO-sh2HD4
15-Minute Desk Workout,nKCPcRcJmqc,Workout,425505,15.58,https://www.youtube.com/watch?v=nKCPcRcJmqc
7 mins WORK BREAK workout at your desk (on your chair),yGeJ745bB_8,Workout,368,7.52,https://www.youtube.com/watch?v=yGeJ745bB_8
10-Minute Workout You Can Do From Your Desk | P.volve Workouts,57kRQdYGTEo,Workout,6246,9.63,https://www.youtube.com/watch?v=57kRQdYGTEo
Desk Workout - 5 Minute Office Fitness &amp; Computer Workout w/ Jake Mace!,puJjT3DsP88,Workout,7762,5.53,https://www.youtube.com/watch?v=puJjT3DsP88
NO GYM FULL BODY WORKOUT (feat. 5 min Tabata) | 5분 전신 타바타 운동,Tz9d7By2ytQ,Workout,19454505,5.4,https://www.youtube.com/watch?v=Tz9d7By2ytQ
5-Minute Standing Flat-Belly Workout | Class FitSugar,SRq7XtDW0wg,Workout,11336548,5.62,https://www.youtube.com/watch?v=SRq7XtDW0wg
5-Minute Workout That Replaces High-Intensity Cardio,FXDWtYsu1dQ,Workout,35547632,11.05,https://www.youtube.com/watch?v=FXDWtYsu1dQ
5 MINUTE FAT BURNER 💪💕 Ultimate No Equipment Cardio Workout,EDD4GxHVess,Workout,514503,5.22,https://www.youtube.com/watch?v=EDD4GxHVess
Bowflex® Bodyweight Workout | Five-Minute Cardio Blast Workout,BR0jT6JxH-o,Workout,6037835,5.55,https://www.youtube.com/watch?v=BR0jT6JxH-o
"LOSE FAT in 7 days (belly, waist &amp; abs) | 5 minute Home Workout",ohgLmY19jNg,Workout,9901363,5.88,https://www.youtube.com/watch?v=ohgLmY19jNg
5 MINUTE MORNING WORKOUT (NO EQUIPMENT),ZtNAGrM1gMM,Workout,173486,5.62,https://www.youtube.com/watch?v=ZtNAGrM1gMM
"5 min Cardio for Beginners - No Equipment Home Workout - 40 second, 20 second Intervals",q2NZyW5EP5A,Workout,346626,5.33,https://www.youtube.com/watch?v=q2NZyW5EP5A
5 Minute Butt and Thigh Workout for a Bigger Butt - Exercises to Lift and Tone Your Butt and Thighs,afghBre8NlI,Workout,66765681,5.3,https://www.youtube.com/watch?v=afghBre8NlI
5 MIN HOME WORKOUT YOU CAN DO EVERY MORNING l 매일 아침 5분 전신 홈트레이닝,fLLScgWQcHc,Workout,1737645,5.45,https://www.youtube.com/watch?v=fLLScgWQcHc
5 Minute Move | Kids Workout 1 | The Body Coach TV,d3LPrhI0v-w,Workout,2759217,5.83,https://www.youtube.com/watch?v=d3LPrhI0v-w
5 Minute LOWER ABS Workout 👙💕 LOSE LOWER BELLY FAT,Jnkz6q39Dlw,Workout,1439303,5.55,https://www.youtube.com/watch?v=Jnkz6q39Dlw
5 MINUTE BEDTIME WORKOUT ROUTINE,5Q4ewnHMNW8,Workout,2363274,5.52,https://www.youtube.com/watch?v=5Q4ewnHMNW8
5 min Cardio HIIT Workout for Fat Loss - 40s/20s Intervals - Home Workouts,XGtjACeyHtc,Workout,2093573,5.33,https://www.youtube.com/watch?v=XGtjACeyHtc
Shaun T&#39;s 5-Minute Fat-Blasting Workout,-kQpTMkQo3Y,Workout,6056641,5.7,https://www.youtube.com/watch?v=-kQpTMkQo3Y
5 MIN DAILY STRETCH - a super quick routine for every day / No Equipment I Pamela Reif,KPG1tJW8dwQ,Workout,1480958,6.23,https://www.youtube.com/watch?v=KPG1tJW8dwQ
5 MINUTE HOME AB WORKOUT (6 PACK FOR BEGINNERS),6auB47_9Kq4,Workout,857655,5.63,https://www.youtube.com/watch?v=6auB47_9Kq4
5 MIN UPPER BODY WORKOUT (NO EQUIPMENT NEEDED)  |  5분 상체운동 루틴 (가슴 어깨 등),1fjeQKI-5wg,Workout,1736308,5.37,https://www.youtube.com/watch?v=1fjeQKI-5wg
5 Minute Belly Blasting Walk!,ujGr3nrZfvQ,Workout,10177004,5.2,https://www.youtube.com/watch?v=ujGr3nrZfvQ
5-Minute Warm Up for At-Home Workouts,Ks-lKvKQ8f4,Workout,5724902,5.92,https://www.youtube.com/watch?v=Ks-lKvKQ8f4
